,G_0,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,Grupo
PAC_54425_0,7.9092364197910126,14.186132292914644,11.093443262055882,11.707443966663382,12.121446669528046,9.108235380378792,10.967820169805032,12.586615002937544,11.94498490400246,11.853333098889472,13.476092257241142,9.707983119563476,9.825431642501846,13.531901312589524,12.0647586146378,12.052300505086482,11.556632643780425,11.628636604117284,11.55363132387407,14.27357150437588,9.894573924703971,10.014713544276562,6.554505871527371,8.420005696924534,7.7954875606865315,6.892536553317336,7.488836398948661,6.2551892407529435,5.043796178813584,6.777534715676433,8.80171606559785,6.1068102086995175,6.980665163824914,9.418994751832379,3.0017423178649656,8.366466680406306,6.072659430169384,7.273182676079945,6.348933468512498,8.357315738067168,2.254539207191617,1.5174175066859972,3.226696986934577,2.1722497150227205,0.3516283138261914,4.868925097170968,3.6871501255436088,-0.3757554663816317,6.3786430842776864,3.024702152239883,1
PAC_48756_1,4.935554998328293,9.101072413406607,6.359172017622422,6.02249905298563,8.262614079459661,8.554228290428735,7.578464157306913,4.951897144426086,6.825127110567218,7.93751675243148,6.058907689333317,7.758598558037745,7.64526708474929,8.459837338548663,9.828259245841984,7.683752437684449,6.382179407014127,4.990663636286441,3.684070319664831,6.50879043998408,6.125222057445616,8.112920032931246,7.025004502597305,2.195742956455396,7.186255312470903,5.985020851084598,7.894706163296357,8.630599753215176,8.42132609229174,5.877891736319288,7.104421761679124,8.340772285867237,6.307306858236458,3.0294102201895603,9.210549707036487,7.092028513233508,5.227709558513546,3.8891973119800327,8.628886183089913,7.239422107486351,8.058211984446535,7.845115091022438,7.692323365981128,7.933825103245301,7.030948769014251,3.8840314460975076,5.842148472439448,3.8388288969914828,7.621889412642325,7.296261962339194,0
PAC_28888_2,2.989472686892075,8.133698604622136,5.767493106109816,6.790416673057482,8.571206081235653,9.54032486590648,7.45704490112842,6.701905068272395,5.330927304724234,7.981491504798088,10.523801977948754,8.519435166963849,5.933142226102445,11.03759742644065,6.334051937278071,7.3640049493171515,8.27991949364139,3.8435401807312193,1.7942706973277969,8.799909087098888,7.7731807913128925,8.718537479139636,6.306248735017359,6.24534391439343,6.8046877630266,4.678918332330298,6.816181983383005,6.814735959870937,5.402337059299237,6.007177553611165,3.7180714227976894,8.527336272024014,6.957710252249363,5.23691107291562,5.989188504341993,7.9259393897912,5.080775722541421,6.014186964566452,8.054352234586112,8.82679848610584,10.284907303044534,8.301473249745355,9.253598466311812,7.341139338920555,4.616379098124684,6.584301543980601,7.668862129062026,1.828297959281218,7.099035045462081,7.109677584643602,0
PAC_45735_3,2.128457685097342,9.101959842419989,5.327298552863901,7.151920687539656,12.098980134494678,4.64026223648033,5.2865668937037285,5.815473430957915,5.872067765304857,8.447785732356769,8.894869494659458,8.168671653044452,5.5254823284167145,12.210089443573736,4.3572682095091455,7.030346782839797,7.017102015141993,5.767901964962385,5.927067284418989,9.77549411391271,7.60684733822013,8.692641415941806,5.906300407737607,7.883207123950239,6.954279939987744,5.278938623216045,7.929466988756186,8.440141574406574,2.9232193434925264,7.564819972273124,7.998213410214569,8.993977337597256,6.513456457939872,7.913308359607595,4.611682741015882,4.352382004000142,7.75723598960065,5.616008673573961,4.304743300339066,8.57257955135788,7.762233772976929,7.743103522425644,9.220327866737223,7.945195243378112,4.246091747481556,8.976970076811385,7.476914219737805,5.452014106892615,6.298173495235588,7.042187772290687,0
PAC_57295_4,5.910128757314704,9.401745250389705,7.859671204453383,7.0433945436334335,7.60094416419127,8.555590964910014,3.58672363536005,5.473345184027105,10.073262965943547,8.229024691680893,7.027178292998897,8.251708058586052,8.423022586460988,8.247936094011907,6.2777896966374485,7.470045932236826,7.835069187506118,6.984054899966713,7.472006974574354,8.902710754466662,5.901858208672266,9.010235923278662,5.110379462491742,5.701739445339422,7.478241284720918,7.536077195871193,6.203915215078306,4.669854624687055,7.215800344583837,11.489743845180016,8.127346977927976,7.3957085639050515,7.9233329170631865,6.540741997014386,5.958338963393217,8.166477337242934,6.549314563585402,5.236723841327021,4.729406768560867,11.056706918805068,8.22981219531781,7.23625732420428,8.415108453625416,8.428135973357694,8.204392984765585,9.416919664738758,6.214806986223981,4.683085021895282,10.042445460546507,6.910728486651414,0
PAC_93042_5,5.938321521962394,13.3509234161924,13.085402137838635,11.692334189473343,11.788745473315576,11.533648322187421,10.43129239095918,10.44463352673329,14.524266895028562,12.944012179018449,11.759917021455735,10.1750830492161,12.266308673299235,14.495437488841148,10.756051760787406,10.927671225210792,12.265372738847088,10.387996937315636,10.665568630986126,15.351271345592613,7.711713747001706,7.500831446343518,4.9577794368491315,6.098898049733956,7.4675098656069645,6.006863293856367,9.349032451970704,7.838811456539375,6.649122905261089,5.729689040967696,9.027484637298826,5.7029987292671915,6.81173214714128,6.342110127410599,5.305097113807293,6.635951811960958,2.878078316791474,8.160774513778941,7.832039360793951,9.119078848652558,2.9106192774832516,1.8263036165467652,4.707613722036634,3.5183883732663865,-1.5792381533571347,5.444960205798196,2.155644090301152,-1.1422894254145377,-0.22884463878134076,2.1356575733344707,1
PAC_95999_6,9.261798526356879,13.336910325522233,10.254255355284515,11.8246271743409,13.481661603276095,14.749406155865453,10.58007081220092,9.838988708803129,12.77301746896745,12.827208831130546,14.234119769548748,14.11862766977806,13.67883015939122,13.086957236737362,14.734956594855351,13.297797649678454,13.517493954521605,9.95359672324264,9.573500307179783,12.780942740901834,7.913184450220678,10.859662858553964,6.528094436451516,9.024781175831624,8.079946921004336,5.485499744316756,8.063237145366067,6.747611154752491,11.114887552018043,2.3635912324761534,9.80636544182768,4.181234061583508,6.530429408455535,5.2355607541743465,7.904244403948324,6.547657460466567,8.143751492026833,5.186706180662928,9.509606868525792,7.921398393789187,3.0089453030601403,3.181315720789849,4.385960478834868,2.5150278408552404,0.5584416522804297,4.97663389242191,2.5965725739136216,-0.8520484283259814,2.1744194782214037,2.5485930672802573,1
PAC_27955_7,6.54770332331426,7.022573363933372,6.4211327108974015,7.362556688268731,10.017628356705117,6.180355858034269,2.8450569424312735,5.93804655729811,4.830690977281172,7.892488381957319,7.465080048751119,5.149375912908123,7.727525748675621,8.643566567915702,8.434340576953058,6.286243509270923,5.794539276783896,6.355612498503492,3.712269893423982,7.111214588685515,7.742751176882808,8.777201407550816,5.763800452006432,7.013502683564784,6.457110058448981,7.220785868010745,7.137473238583316,7.452709669334428,11.509744621184307,5.041013321867173,11.17835186882151,2.593516390456111,5.245125094503311,3.0051055777544793,3.856225788526949,7.8262134601371445,6.609003496516726,6.369846727950571,6.848337638962175,9.25206070643235,8.947479122870986,6.236153980514316,8.192494977398555,7.828795156768905,5.830255261142888,7.010084648890779,7.0506461667951585,4.861960679922424,6.625948987022731,6.805869215615704,0
PAC_47841_8,5.146544956703311,8.48311862945216,7.29974569096696,6.379854936518044,7.788932487249971,7.3254369869753555,7.021704203181266,5.370247289478679,7.53648043778313,8.13786079238878,9.588666281507908,5.600014884223139,5.620763020405241,7.569723654646976,4.500951734741776,9.592889017738173,5.563494587191896,4.522126878256965,7.351323084382695,4.685312369542485,8.594646966436049,5.79319437089934,9.065505109216243,2.4194373015695154,5.416922114249833,4.83740113188995,8.444776474100037,7.243980780468912,6.288063296111188,9.258838187307331,12.64814777554922,8.5053595946539,6.254877755215363,4.593410323751445,3.689009714373589,7.679377664840328,3.715723974434521,7.402775756783498,10.681318139853941,9.504124195131654,7.5080663862227155,7.535483295423605,9.816985215987764,8.984328492328185,4.1085695924391645,9.391570362887412,6.93523861061976,5.712203891920299,8.719728394646276,5.623055087534293,0
PAC_80640_9,4.315782741626203,8.702430247058167,4.972147664800447,7.3350183395407464,6.175536270784079,6.219289378173235,7.972639533500487,5.417560638401165,8.211529621054076,6.912605872816208,10.147381531100503,6.614545290740414,6.705447215765749,9.106406048638048,7.758009523410078,6.58463122372507,6.836779325537669,4.738815954395223,2.1800849857580706,8.869907571191803,7.3449356777893415,8.93722740138179,7.234973048335946,6.054465191779029,9.411395992129766,5.810257804479964,5.40135660717641,6.82940336001422,7.789441599518283,7.8602332491852,6.430795631420864,8.961798315339005,5.464006535063696,7.610289176839318,3.6424256197349134,7.2125963617641,7.7767949436432255,6.8492860249031455,8.567173779270297,9.372759484268244,9.448195173537679,7.9107215017140895,8.117226105305903,8.32376876221792,3.504108730393459,8.336853500177948,8.571488828765881,4.975672480825416,8.841007697119203,7.177014303002093,0
