,G_0,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,Grupo
PAC_54425_0,5.009314751499413,8.523059875778483,7.1221961632562705,7.266720472866203,9.010641991130434,8.446525205320693,6.372356898925239,5.674932810570876,4.995818970387583,8.115874497378567,8.496727047615053,6.648002920380828,4.168673701094411,8.851434067600412,7.465608881207658,9.004762465353805,5.357803562008453,5.475879488279841,4.957719046750043,5.680758244257013,8.291748580823674,9.895979817184354,6.4276103024317415,10.788740929358866,6.953335560391577,5.029445301854995,6.703383623248101,6.36354611871888,5.886755809949715,4.4788121736140685,8.149036438705922,7.414444437662166,5.103306894983091,5.20400421555769,5.694929162643406,8.269909286382296,7.987925395191565,7.786261966972725,6.011685875225808,7.573410397565494,8.667062192707057,6.782432465899587,7.482720922617201,9.550543859379943,4.909863653774404,7.281360770004883,3.527265406710775,5.761261249938083,6.0804812631801015,7.3513248248305105,1
PAC_48756_1,6.5079817779018425,9.015710751383185,7.708469160096733,7.0855164943154705,11.084264833761875,9.509101922319818,7.618446264672929,7.03913113251432,7.886474321694547,8.938290756452483,6.632988784719869,5.937737977649381,6.062452237982958,9.160344371459807,8.191355867562313,8.943068065142363,7.5155378562490585,4.442804480084078,5.081622217450477,10.98830719527524,8.885711213581564,7.6400996223299185,9.64089745362798,5.949047044699716,6.57939424285021,8.631130849617769,5.700075016943084,5.131025849688632,8.582938380550416,6.99212548689229,8.760411871140445,6.67112410270893,6.521524112318277,4.516231240956326,4.68769359980328,6.990432458142294,5.54888714716353,5.635165903702275,6.145402209226871,5.227947950181859,8.78326304404983,7.4396645884943,8.4194669501608,8.045033775673598,5.585440477462035,7.100419114836354,6.307807030520808,5.407542684178833,8.380842377268804,8.80313818751189,0
PAC_28888_2,7.213775393218373,9.32485953011471,8.181454001307603,7.816964526670837,10.192536053696786,10.269946328391649,7.638153251573439,7.914896263959676,9.733226420783412,8.922701924241746,8.498436764575366,5.409318334717348,6.95396524111125,12.691757202861051,4.585009618431309,7.840225377296031,6.422580551730429,4.816943657162871,6.39545186206498,9.051948048989019,8.61188051490233,7.102970636215877,11.102458423258362,3.211078952443349,6.189184533876186,6.234453088620018,7.383179595106478,7.826420377850141,9.731004347691329,6.7384491820733325,8.734269597771263,6.257506935366334,7.095122802055863,4.785870146768671,5.150415144802836,8.311146814047108,7.732105115902657,3.8687400238540777,7.756423729381752,8.19247060623766,9.073909112501342,6.990746475685392,9.555187701226934,7.401253495673826,2.690391838782748,10.396345798506252,5.7867921114812715,3.099051953850546,8.01243866417598,7.158345965583316,0
PAC_45735_3,3.6454034392536574,8.682070531959193,6.018847406312463,7.048303341101739,7.261940182812079,6.118837942227458,5.279977518893148,5.15907160567724,5.810082725727724,7.961708451776922,9.07600205569365,8.449236576450332,6.6863265300713195,8.189081662470512,7.466611781859342,6.97651715194823,6.000741403820456,7.721608581733138,5.779071209378229,6.831769510053562,8.676704580242529,10.920743416573453,6.163466424345216,5.871120351198078,6.703408054714199,7.786857742981357,8.44686345612767,8.834024284655348,8.703915120072274,4.138158416156367,9.0548836759778,5.434384185884333,6.331147523256698,5.730306992009009,6.891067358539319,6.264086997060293,2.667917972509585,6.927298366334805,11.815851457123221,8.281911421114632,8.078431925272206,8.415425538487991,8.972743492378102,8.030616176387543,5.780307659416273,8.908851099339792,5.290499217979978,3.360501000161811,11.612334741430665,7.4632087799908975,0
PAC_57295_4,2.953253967496268,7.89726709941646,5.750084732155903,6.648040741321906,7.039297054123049,7.5025538227194986,4.381186099153917,5.219053820526695,5.778561554193361,7.50067869312045,4.492299624918921,6.722381958410168,7.473419316457822,10.608258581979799,5.718487142177179,6.599668510166241,6.57371143214109,4.0969460172117,4.8308472038636925,7.352315989802912,6.254805650409012,10.0043630871716,6.656636570158264,8.858077101543063,5.318963598205976,3.9141740488262537,7.897208868470527,6.381937775604273,6.595687009075164,6.945717070532505,8.819633554441081,6.110136827740539,6.790542221361921,3.8897247360645735,6.647922097339597,7.371587302698463,6.405802893994987,9.986828072589581,5.146128338218308,10.395106064979608,5.087400106315229,5.709098621725518,7.472407324222068,7.048189064765916,5.504649437689188,8.982355028835554,6.773186602981456,4.665045649565397,8.997115044612446,7.931130199986613,0
PAC_93042_5,3.0063794851637544,8.964751283644645,6.635527420372277,6.984818002109274,7.632050347926204,7.674506498866481,5.0342305164149765,6.935383003810195,6.736553735825226,8.254125350081079,7.306179917438032,7.777089141359878,5.049956907229474,8.377263889047583,6.561243520332084,8.721866880974366,5.873623200697008,5.9677021625098545,5.522207996561476,9.876684351849887,6.606606164061175,7.228511612344698,5.318045887566347,3.4100895482629854,9.186050668669889,3.475678637755621,6.2935873110685225,8.755314701349,3.7408914752551983,8.244949257242261,5.807255684810311,9.524682244158182,5.181647248750417,2.0147928725761397,4.809911809723887,8.92246972933187,6.12544169880105,6.266265321527246,9.508494530264798,11.413119784637077,8.769574932680111,6.729452898170567,8.146399435936978,6.970040273011332,5.385693248270296,5.419426298858858,8.124770670986617,7.024865063003656,9.36239517319146,6.9926279145479775,1
PAC_95999_6,5.528014619395172,8.972571460725739,7.969122194098243,7.143745326734132,9.02451908770206,8.10228172164472,5.5153911605381385,6.970608166462919,7.579173992004897,8.249823282758399,7.728704746535216,4.982987058981086,7.405506388821744,6.762203509628344,5.747141419670581,9.205047116880847,5.93195987115107,6.434424509690683,2.069932286496807,10.540845325258429,7.398620039574437,8.657681676448128,7.233585590145485,7.921316636354091,5.667924885285636,5.892222016168014,6.483110081201899,5.382652490392335,8.665312417799623,6.3390058892678445,8.98118101611297,7.63158897658335,6.454676170102131,9.214805517671195,5.560156008864972,5.311994163872701,5.568588156721474,7.336030372888627,8.061960571947742,7.106841781212883,9.053866499461092,5.930278146771533,9.426602466309738,6.948269096230474,5.007539372414001,10.420431670180495,7.400531267763364,5.72326728452407,9.172026791310598,8.257598867341004,1
PAC_27955_7,2.570306750818873,8.188898106695241,5.542933393559277,5.942508374754235,6.129659049309645,6.446995890797218,3.755524689171571,5.730891125652419,4.831072723818851,7.535191916553837,7.370321524076395,6.382194920349163,7.845828252765545,6.92580446553724,7.605645399480064,7.021318157887942,8.158576894913342,5.285903190282964,5.319560683655018,7.992511374310087,5.566505001403881,7.241137685813543,8.71693625774533,8.43674686442572,7.598700195871518,3.264626124842684,7.980019089027744,8.07932092453876,6.9758651968589,9.047575867109643,7.205993026828125,6.407730951838021,4.963304034590617,7.177133853972165,6.1045728097009935,5.135210689897196,3.5212654957986564,5.5787655976851,8.526201362808887,8.152426099478022,7.137109790485398,6.460777909077295,7.627879319092535,6.515438173078099,3.8731208844593352,6.45709103383143,8.343855671127123,4.6476982244119815,6.392890202684996,8.99511038319492,0
PAC_47841_8,5.140453443686496,8.937408634254478,7.030326943391898,7.5217209157304525,8.264227655708478,7.52539924963945,6.760737992042185,6.703822901099382,8.07793430921967,8.574201558883068,7.257659130703196,6.515125457254912,4.8765474959509865,9.955509601513274,8.388675855782292,8.291088417538091,6.454416138923012,4.674935841714582,3.87657969700941,10.962418265191125,8.799248675508093,6.881211686966773,7.208982356829223,5.999628033981316,7.920924050564851,6.965125090320065,8.579260633850076,6.324203695301055,7.07958941970443,3.938148136348572,6.105725132751601,8.881269852694873,6.027449752343019,3.7770172745259094,5.618930264671872,8.527049445702303,4.573059261294077,2.2390936917223545,5.567367624989257,10.152168465570455,8.405821042883852,8.094154610806143,7.561582689280822,6.7227767025089005,5.80393126056071,8.889878128555523,7.712084424941618,5.850592120054465,8.792987636596504,7.622992740657942,0
PAC_80640_9,7.433761356133905,8.764621649431636,7.283064144904064,7.449206849758374,8.753689533630885,9.412224817264011,5.962756915442929,7.100284990333175,6.684014417184045,8.59525170163079,8.109470392803159,7.658348237899926,7.145186519478003,8.549278610695572,6.893951837738366,8.725429289671291,5.30815897787081,5.678836860731371,5.242080355005579,8.512844966527199,6.219740817221722,11.316056244490124,7.292942374537647,7.245851999797716,6.865464826350135,6.954418751227127,7.333325786057194,8.635477939608094,4.3008857145639965,7.2463400300474365,9.299412197593785,6.981746056069048,6.406243778524832,4.6999782407014745,5.89468749427982,4.952332293338385,7.626731673410043,6.0813451684039395,7.342129458477459,9.03872336548193,7.445446955781173,7.074227215933986,6.8212752066007205,8.39364813711253,6.517916048939794,5.286889852117591,6.519063929604032,3.4826557450401685,7.639525064624631,7.798114529831109,0
